ENDEKS;DATE;SESSION;LOW;HIGH;CLOSE;USD BASED;EURO BASED
XU100;04.01.1988;0;0;0;6.89;393.47;0
XU100;05.01.1988;0;0;0;7.07;403.38;0
XU100;06.01.1988;0;0;0;7.07;399.05;0
XU100;07.01.1988;0;0;0;7.03;392.28;0
XU100;08.01.1988;0;0;0;6.96;387.28;0
XU100;11.01.1988;0;0;0;7.03;388.45;0
XU100;12.01.1988;0;0;0;7.24;399.58;0
XU100;13.01.1988;0;0;0;7.35;404.09;0
XU100;14.01.1988;0;0;0;7.83;429.81;0
XU100;15.01.1988;0;0;0;7.69;419.63;0
XU100;18.01.1988;0;0;0;7.89;424.75;0
XU100;19.01.1988;0;0;0;8.52;455.91;0
XU100;20.01.1988;0;0;0;8.42;448.62;0
XU100;21.01.1988;0;0;0;8.12;432.84;0
XU100;22.01.1988;0;0;0;8.32;441.89;0
XU100;25.01.1988;0;0;0;8.58;452.8;0
XU100;26.01.1988;0;0;0;8.46;445.52;0
XU100;27.01.1988;0;0;0;8.35;437.94;0
XU100;28.01.1988;0;0;0;8.45;442.48;0
XU100;29.01.1988;0;0;0;8.58;448.53;0
XU100;01.02.1988;0;0;0;8.56;445.71;0
XU100;02.02.1988;0;0;0;8.36;432.61;0
XU100;03.02.1988;0;0;0;7.94;410.1;0
XU100;04.02.1988;0;0;0;7.98;411.66;0
XU100;05.02.1988;0;0;0;7.79;399.99;0
XU100;08.02.1988;0;0;0;7.59;389.1;0
XU100;09.02.1988;0;0;0;7.3;372.39;0
XU100;10.02.1988;0;0;0;7.23;368.04;0
XU100;11.02.1988;0;0;0;7.27;370.25;0
XU100;12.02.1988;0;0;0;7.47;379.16;0
XU100;15.02.1988;0;0;0;7.3;368.38;0
XU100;16.02.1988;0;0;0;7.03;353.73;0
XU100;17.02.1988;0;0;0;6.74;337.98;0
XU100;18.02.1988;0;0;0;6.17;308.87;0
XU100;19.02.1988;0;0;0;6.42;321.41;0
XU100;22.02.1988;0;0;0;6.89;343.4;0
XU100;23.02.1988;0;0;0;6.79;338.32;0
XU100;24.02.1988;0;0;0;6.79;338.13;0
XU100;25.02.1988;0;0;0;6.85;340.28;0
XU100;26.02.1988;0;0;0;6.93;343.17;0
XU100;29.02.1988;0;0;0;7.21;356.64;0
XU100;01.03.1988;0;0;0;7.1;350.55;0
XU100;02.03.1988;0;0;0;6.94;342.11;0
XU100;03.03.1988;0;0;0;6.79;333.35;0
XU100;04.03.1988;0;0;0;6.86;336.37;0
XU100;07.03.1988;0;0;0;6.82;333.77;0
XU100;08.03.1988;0;0;0;6.68;327.15;0
XU100;09.03.1988;0;0;0;6.75;330.77;0
XU100;10.03.1988;0;0;0;6.77;331.63;0
XU100;11.03.1988;0;0;0;6.78;331.84;0
XU100;14.03.1988;0;0;0;6.77;330.93;0
XU100;15.03.1988;0;0;0;6.76;330.22;0
XU100;16.03.1988;0;0;0;6.71;326.42;0
XU100;17.03.1988;0;0;0;6.64;322.18;0
XU100;18.03.1988;0;0;0;6.67;322.67;0
XU100;21.03.1988;0;0;0;6.86;329.97;0
XU100;22.03.1988;0;0;0;6.78;325.69;0
XU100;23.03.1988;0;0;0;6.7;321.22;0
XU100;24.03.1988;0;0;0;6.66;318.42;0
XU100;25.03.1988;0;0;0;6.7;320.73;0
XU100;28.03.1988;0;0;0;6.64;317.42;0
XU100;29.03.1988;0;0;0;6.48;310.09;0
XU100;30.03.1988;0;0;0;6.3;301.02;0
XU100;31.03.1988;0;0;0;6.35;302.83;0
XU100;01.04.1988;0;0;0;6.31;301.14;0
XU100;04.04.1988;0;0;0;6.06;288.76;0
XU100;05.04.1988;0;0;0;5.95;283.32;0
XU100;06.04.1988;0;0;0;5.98;282.93;0
XU100;07.04.1988;0;0;0;5.84;275.59;0
XU100;08.04.1988;0;0;0;5.76;270.86;0
XU100;11.04.1988;0;0;0;5.51;258.56;0
XU100;12.04.1988;0;0;0;5.07;237.35;0
XU100;13.04.1988;0;0;0;5.39;251.61;0
XU100;14.04.1988;0;0;0;5.33;248.42;0
XU100;15.04.1988;0;0;0;5.3;247.53;0
XU100;18.04.1988;0;0;0;5.14;240.06;0
XU100;19.04.1988;0;0;0;5.09;237.35;0
XU100;20.04.1988;0;0;0;5.03;234.39;0
XU100;21.04.1988;0;0;0;4.9;228.03;0
XU100;22.04.1988;0;0;0;5.01;232.26;0
XU100;25.04.1988;0;0;0;4.99;231.12;0
XU100;26.04.1988;0;0;0;5.16;238.31;0
XU100;27.04.1988;0;0;0;5.23;241.3;0
XU100;28.04.1988;0;0;0;5.4;248.67;0
XU100;29.04.1988;0;0;0;5.54;254.91;0
XU100;02.05.1988;0;0;0;5.73;263.2;0
XU100;03.05.1988;0;0;0;5.53;252.73;0
XU100;04.05.1988;0;0;0;5.5;251.35;0
XU100;05.05.1988;0;0;0;5.46;248.75;0
XU100;06.05.1988;0;0;0;5.53;251.86;0
XU100;09.05.1988;0;0;0;5.68;257.99;0
XU100;10.05.1988;0;0;0;5.68;257.54;0
XU100;11.05.1988;0;0;0;5.82;263.97;0
XU100;12.05.1988;0;0;0;5.77;260.8;0
XU100;13.05.1988;0;0;0;5.86;264.48;0
XU100;16.05.1988;0;0;0;6.1;274.73;0
XU100;20.05.1988;0;0;0;6.25;281.74;0
XU100;23.05.1988;0;0;0;6;268.63;0
XU100;24.05.1988;0;0;0;5.85;261.4;0
XU100;25.05.1988;0;0;0;5.67;253.2;0
XU100;26.05.1988;0;0;0;5.77;256.74;0
XU100;27.05.1988;0;0;0;5.64;250.54;0
XU100;30.05.1988;0;0;0;5.49;243.15;0
XU100;31.05.1988;0;0;0;5.53;243.8;0
XU100;01.06.1988;0;0;0;5.5;242.4;0
XU100;02.06.1988;0;0;0;5.47;240.91;0
XU100;03.06.1988;0;0;0;5.43;238.01;0
XU100;06.06.1988;0;0;0;5.36;235.32;0
XU100;07.06.1988;0;0;0;5.38;236.12;0
XU100;08.06.1988;0;0;0;5.35;234.7;0
XU100;09.06.1988;0;0;0;5.31;232.5;0
XU100;10.06.1988;0;0;0;5.28;230.55;0
XU100;13.06.1988;0;0;0;5.21;227.29;0
XU100;14.06.1988;0;0;0;5.1;221.98;0
XU100;15.06.1988;0;0;0;5.22;226.02;0
XU100;16.06.1988;0;0;0;5.04;217.48;0
XU100;17.06.1988;0;0;0;4.92;212.46;0
XU100;20.06.1988;0;0;0;4.94;212.61;0
XU100;21.06.1988;0;0;0;5;214.64;0
XU100;22.06.1988;0;0;0;5.03;215.75;0
XU100;23.06.1988;0;0;0;5.02;214.12;0
XU100;24.06.1988;0;0;0;4.99;212.02;0
XU100;27.06.1988;0;0;0;4.92;208.66;0
XU100;28.06.1988;0;0;0;4.86;204.76;0
XU100;29.06.1988;0;0;0;4.79;202.3;0
XU100;30.06.1988;0;0;0;4.69;196.89;0
XU100;01.07.1988;0;0;0;4.63;193.93;0
XU100;04.07.1988;0;0;0;4.53;189.81;0
XU100;05.07.1988;0;0;0;4.4;183.71;0
XU100;06.07.1988;0;0;0;4.16;173.39;0
XU100;07.07.1988;0;0;0;4.15;172.98;0
XU100;08.07.1988;0;0;0;4.37;182.13;0
XU100;11.07.1988;0;0;0;4.57;189.33;0
XU100;12.07.1988;0;0;0;4.44;183.31;0
XU100;13.07.1988;0;0;0;4.41;181.86;0
XU100;14.07.1988;0;0;0;4.43;182.48;0
XU100;15.07.1988;0;0;0;4.52;185.46;0
